,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
2951994,SCAR-L,DK_yy6363,1.0,571613.6,319859.8,MIRAMAR,2U4GBNA0YmlAYIL66j9BBSRFg5ePpxr0hV37JkKtTU4kBvnfRKL2-Ceo8Dx4ttS-,1945,zHy951121-,2.0,574317.2,318188.9
2952701,M416,ICEMANJYU_DMM,1.0,419553.3,708903.1,MIRAMAR,2U4GBNA0YmnSE1lfk4MXSeb8g8MNTBNjhLpOG8PRXR06ispFvDaz-ZAZC5fHu9Wp,1961,Daddions,2.0,421846.1,710057.3
2955063,Grenade,yourdad-53,1.0,130280.9,574759.6,MIRAMAR,2U4GBNA0YmnJKS6_6fn7v95HarmAo90f2eYeJXOiLpOvZiYGJubENctwZ8g9egYD,1805,KFC-King1020,2.0,131628.0,578557.3
2957218,M16A4,DENZEL233,1.0,252886.0,387849.3,MIRAMAR,2U4GBNA0YmmWN0EBse9Kcu6KjucNaMD4WrDK6c-w_g_mmxdkqJmMWf05ZV4f9VZa,1760,MoreRoyal,2.0,247793.2,407548.9
2960345,Grenade,Q_QUN-475334713,1.0,257430.7,538400.8,MIRAMAR,2U4GBNA0YmmQegOpWksuZryKatey_9T5q70TslbI9sXoxV1MbckVNZuaJ9VGwAFO,1942,VT___VT,2.0,256448.3,539742.7
2960857,M416,wx9420wx,1.0,426015.8,688746.4,MIRAMAR,2U4GBNA0YmlHIf-57r4ePTLaivgigoNkNOtyH9LA1sv1589iTn7Wscrarvkc3Ube,1856,Teddyburrr,2.0,424357.5,692405.4
2961160,SCAR-L,Carrivan,1.0,382746.1,134905.5,MIRAMAR,2U4GBNA0YmmHo_JKvMXWA9hiap_3CnDD1Ruus0nh7LGT4LF_ERSSbPB-Y_6ax4BH,1900,iam2Glock9inez,2.0,386597.9,130721.3
2966750,M416,RIlIlIlIl,1.0,451576.4,369623.5,MIRAMAR,2U4GBNA0Ymmt0fhKIp25UTeyrotzUZxufRStF_Jlta3uWL0ZUA3Xujo0RcA1ANkk,1913,Lonely__life,2.0,451488.1,370683.3
2969244,SCAR-L,luoou520,1.0,546749.0,457353.9,MIRAMAR,2U4GBNA0Ymnlu2Qg79CKPyjpStUxKur5lk7b6P8dzw9yGSiG4e2nNjJXTPkTQbro,1926,orange_jewce,2.0,546422.3,461973.1
2971088,SCAR-L,DELLYBOBER,1.0,213461.0,357339.8,MIRAMAR,2U4GBNA0YmnLk9X703Ho5fRjNpZQiiwD-iHVAfEilroilg5Ad7rRUyBkNI_WHfop,1893,JarsidKulver,2.0,213784.4,361255.1
2978449,SCAR-L,98k98kYoung,1.0,459319.9,297164.0,MIRAMAR,2U4GBNA0YmkEkN5e4MWtuWJtH1uokbV7bAVleK9ubutxFwdTn1eznD4Zq6NnqfhN,1941,dabaoge007,2.0,459318.6,294644.8
2979694,SKS,Nova_Raptor,1.0,276671.9,578231.9,MIRAMAR,2U4GBNA0YmlU-6c6SiEQDJEXJ6wceyCuVDwvT5FOx619pJbRQmeO9XGiyg8eUvTE,1826,ToastyThunder,2.0,279066.8,573219.9
